stock_code,description,revenue,units_sold,orders,customers,revenue_rank
22697,GREEN REGENCY TEACUP AND SAUCER,30425.05,9795.0,1353,480,109
22501,PICNIC BASKET WICKER LARGE,30339.36,2612.0,762,346,110
20679,EDWARDIAN PARASOL RED,30020.97,6149.0,715,271,111
21217,RED RETROSPOT ROUND CAKE TINS,29769.24,2904.0,928,423,112
22659,LUNCH BOX I LOVE LONDON,29563.81,15942.0,1075,294,113
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,29533.87,6830.0,1009,386,114
47590B,PINK HAPPY BIRTHDAY BUNTING,29504.36,5751.0,882,428,115
22622,BOX OF VINTAGE ALPHABET BLOCKS,29450.11,2945.0,571,346,116
22158,3 HEARTS HANGING DECORATION RUSTIC,29198.28,8985.0,718,374,117
82483,WOOD 2 DRAWER CABINET WHITE FINISH,29003.37,4878.0,1123,361,118
23355,HOT WATER BOTTLE KEEP CALM,28718.8,5816.0,782,474,119
48188,DOORMAT WELCOME PUPPIES,28639.1,4872.0,698,309,120
20971,PINK BLUE FELT CRAFT TRINKET BOX,28580.97,22260.0,1148,490,121
84978,HANGING HEART JAR T-LIGHT HOLDER,28475.96,21689.0,1425,525,122
22866,HAND WARMER SCOTTY DOG DESIGN,28266.87,12778.0,1083,530,123
22752,SET 7 BABUSHKA NESTING BOXES,28139.45,3459.0,692,323,124
22188,BLACK HEART CARD HOLDER,28112.03,10353.0,566,292,125
21977,PACK OF 60 PINK PAISLEY CAKE CASES,28081.73,56061.0,1993,767,126
22467,GUMBALL COAT RACK,28059.48,11868.0,1095,398,127
82583,HOT BATHS METAL SIGN,27981.99,12877.0,1176,323,128
23201,JUMBO BAG ALPHABET,27850.83,13366.0,906,396,129
22492,MINI PAINT SET VINTAGE,27817.59,43546.0,732,363,130
20719,WOODLAND CHARLOTTE BAG,27598.42,24479.0,1573,365,131
47566B,TEA TIME PARTY BUNTING,27564.75,6013.0,874,350,132
21930,JUMBO STORAGE BAG SKULLS,27368.08,13390.0,1321,386,133
22624,IVORY KITCHEN SCALES,27282.73,3152.0,1219,579,134
72741,GRAND CHOCOLATECANDLE,27239.46,19712.0,920,510,135
22835,HOT WATER BOTTLE I AM SO POORLY,27082.84,5302.0,1011,451,136
84991,60 TEATIME FAIRY CAKE CASES,27041.21,54028.0,2127,822,137
22961,JAM MAKING SET PRINTED,26888.43,17252.0,1200,558,138
20750,RED RETROSPOT MINI CASES,26866.63,3688.0,909,471,139
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,26763.75,9772.0,756,444,140
71459,HANGING JAM JAR T-LIGHT HOLDERS,26738.79,32989.0,1017,445,141
22149,check,26218.97,12674.0,1382,684,142
22867,HAND WARMER BIRD DESIGN,26117.63,11872.0,1054,521,143
48111,DOORMAT 3 SMILEY CATS,25970.0,4248.0,720,244,144
22551,PLASTERS IN TIN SPACEBOY,25912.87,15441.0,1299,616,145
82600,N0 SINGING METAL SIGN,25736.19,12675.0,1201,385,146
20711,JUMBO BAG TOYS,25719.13,12643.0,1052,326,147
21481,FAWN BLUE HOT WATER BOTTLE,25613.45,8174.0,1050,439,148
22507,MEMO BOARD RETROSPOT  DESIGN,25603.46,5455.0,900,445,149
37503,TEA TIME CAKE STAND IN GIFT BOX,25428.33,2465.0,522,256,150
21080,SET/20 RED RETROSPOT PAPER NAPKINS,25416.93,31076.0,2123,798,151
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,25407.27,12962.0,613,325,152
22087,PAPER BUNTING WHITE LACE,25389.1,8475.0,847,314,153
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,25205.13,40439.0,1259,524,154
22084,PAPER CHAIN KIT EMPIRE,25163.56,8803.0,811,464,155
21527,RED RETROSPOT TRADITIONAL TEAPOT,24968.47,3345.0,831,352,156
23173,REGENCY TEAPOT ROSES,24879.13,2766.0,416,248,157
20972,PINK CREAM FELT CRAFT TRINKET BOX,24785.31,20496.0,1397,568,158
21314,SMALL GLASS HEART TRINKET POT,24641.39,11426.0,1066,369,159
22722,SET OF 6 SPICE TINS PANTRY DESIGN,24459.96,5972.0,835,394,160
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,24445.61,106139.0,1019,482,161
22698,PINK REGENCY TEACUP AND SAUCER,24374.62,8193.0,1033,402,162
84836,ZINC METAL HEART DECORATION,24289.33,19847.0,1408,662,163
22728,ALARM CLOCK BAKELIKE PINK,24257.31,6215.0,969,357,164
48173C,DOORMAT BLACK FLOCK,24256.47,4147.0,537,224,165
47590A,BLUE HAPPY BIRTHDAY BUNTING,24185.03,4753.0,690,355,166
21231,SWEETHEART CERAMIC TRINKET BOX,24128.86,19428.0,1482,500,167
23344,JUMBO BAG 50'S CHRISTMAS,23772.07,10285.0,716,391,168
21955,DOORMAT UNION JACK GUNS AND ROSES,23734.4,3911.0,729,279,169
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,23709.46,3141.0,661,269,170
21790,VINTAGE SNAP CARDS,23506.17,27244.0,1888,793,171
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,23489.42,4800.0,470,275,172
22605,WOODEN CROQUET GARDEN SET,23426.82,1827.0,642,377,173
84406B,CREAM CUPID HEARTS COAT HANGER,23093.95,7133.0,843,318,174
22625,RED KITCHEN SCALES,22911.55,2627.0,950,440,175
22607,WOODEN ROUNDERS GARDEN SET,22906.54,2533.0,744,419,176
21791,VINTAGE HEADS AND TAILS CARD GAME,22858.6,17604.0,1313,641,177
22554,PLASTERS IN TIN WOODLAND ANIMALS,22853.72,13588.0,1275,587,178
21936,RED RETROSPOT PICNIC BAG,22741.31,7805.0,1046,396,179
84970s,HANGING HEART ZINC T-LIGHT HOLDER,22578.3,26817.0,1523,616,180
22556,PLASTERS IN TIN CIRCUS PARADE,22334.08,13585.0,1196,591,181
37449,CERAMIC CAKE STAND + HANGING CAKES,22333.3,2382.0,477,205,182
85014A,BLACK/BLUE POLKADOT UMBRELLA,22213.7,4656.0,712,361,183
20749,ASSORTED COLOUR MINI CASES,22097.61,3062.0,766,426,184
22113,GREY HEART HOT WATER BOTTLE,22025.93,5759.0,996,488,185
22585,PACK OF 6 BIRDY GIFT TAGS,21977.3,17557.0,1084,612,186
22499,WOODEN UNION JACK BUNTING,21826.52,3584.0,774,452,187
23202,JUMBO BAG VINTAGE LEAF,21810.43,10941.0,879,377,188
22941,CHRISTMAS LIGHTS 10 REINDEER,21727.58,2615.0,483,315,189
21210,SET OF 72 RETROSPOT PAPER  DOILIES,21727.19,15118.0,1161,508,190
22456,NATURAL SLATE CHALKBOARD LARGE,21583.2,4416.0,835,385,191
22969,HOMEMADE JAM SCENTED CANDLES,21501.99,14461.0,709,472,192
23209,LUNCH BAG VINTAGE DOILY,21418.82,13170.0,1098,469,193
21213,PACK OF 72 SKULL CAKE CASES,21390.76,40263.0,1481,528,194
21258,VICTORIAN SEWING BOX LARGE,21386.56,1505.0,526,186,195
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,21201.13,2685.0,517,309,196
22570,,20901.1,5631.0,807,351,197
22424,ENAMEL BREAD BIN CREAM,20886.89,1529.0,739,310,198
84997a,CHILDRENS CUTLERY POLKADOT GREEN,20882.48,5363.0,670,278,199
22356,CHARLOTTE BAG PINK POLKADOT,20871.9,20015.0,1584,423,200
23206,LUNCH BAG APPLE DESIGN,20852.58,12147.0,1036,401,201
21218,RED SPOTTY BISCUIT TIN,20800.31,5256.0,897,313,202
48116,DOORMAT MULTICOLOUR STRIPE,20712.63,3452.0,496,186,203
22294,HEART FILIGREE DOVE  SMALL,20629.38,16671.0,861,414,204
22617,BAKING SET SPACEBOY DESIGN,20546.99,4251.0,942,600,205
22632,HAND WARMER RED RETROSPOT,20540.33,10290.0,779,438,206
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,20469.08,17875.0,350,197,207
AMAZONFEE,AMAZON FEE,20467.8,3.0,3,0,208
20723,STRAWBERRY CHARLOTTE BAG,20401.05,18296.0,1379,356,209
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,20345.53,8227.0,1221,396,210
22568,FELTCRAFT CUSHION OWL,20244.97,5479.0,875,389,211
85150,LADIES & GENTLEMEN METAL SIGN,20237.72,8361.0,1110,369,212
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",20169.0,3884.0,802,269,213
22273,FELTCRAFT DOLL MOLLY,20150.99,7355.0,810,423,214
22569,FELTCRAFT CUSHION BUTTERFLY,20104.43,5521.0,784,360,215
21622,VINTAGE UNION JACK CUSHION COVER,19936.94,3699.0,626,329,216
22900,SET 2 TEA TOWELS I LOVE LONDON,19834.04,6156.0,723,252,217
22413,METAL SIGN TAKE IT OR LEAVE IT,19728.24,6976.0,881,446,218
22381,TOY TIDY PINK POLKADOT,19619.54,9265.0,1100,349,219
48129,DOORMAT TOPIARY,19608.91,3127.0,543,251,220
21174,POTTERING IN THE SHED METAL SIGN,19593.81,9696.0,1135,402,221
22561,WOODEN SCHOOL COLOURING SET,19524.27,11642.0,904,556,222
22558,CLOTHES PEGS RETROSPOT PACK 24,19513.17,13809.0,1202,541,223
22169,FAMILY ALBUM WHITE PICTURE FRAME,19507.6,2275.0,701,276,224
22427,ENAMEL FLOWER JUG CREAM,19273.28,3210.0,798,460,225
22952,60 CAKE CASES VINTAGE CHRISTMAS,19240.05,32988.0,1144,570,226
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,19194.13,1758.0,419,249,227
21908,CHOCOLATE THIS WAY METAL SIGN,19125.98,9678.0,974,382,228
22061,LARGE CAKE STAND  HANGING STRAWBERY,19121.37,2171.0,520,219,229
84949,SILVER HANGING T-LIGHT HOLDER,19015.8,11945.0,693,330,230
71053,WHITE MOROCCAN METAL LANTERN,18906.77,4769.0,727,293,231
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,18744.17,15810.0,680,312,232
47591D,PINK FAIRY CAKE CHILDRENS APRON,18716.67,9643.0,1212,526,233
22555,PLASTERS IN TIN STRONGMAN,18680.32,11549.0,967,521,234
22041,"RECORD FRAME 7"" SINGLE SIZE",18650.87,7540.0,555,101,235
21035,SET/2 RED RETROSPOT TEA TOWELS,18644.78,5994.0,929,327,236
21121,SET/10 RED POLKADOT PARTY CANDLES,18442.7,15215.0,873,466,237
22847,BREAD BIN DINER STYLE IVORY,18352.74,1157.0,482,264,238
21484,CHICK GREY HOT WATER BOTTLE,18171.14,4584.0,864,367,239
79323W,"Unsaleable, destroyed.",18048.72,3004.0,349,174,240
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,18044.97,4621.0,814,323,241
22505,MEMO BOARD COTTAGE DESIGN,18034.63,3773.0,744,397,242
22147,FELTCRAFT BUTTERFLY HEARTS,17893.58,12828.0,1132,582,243
22560,TRADITIONAL MODELLING CLAY,17861.71,14836.0,742,420,244
22352,LUNCH BOX WITH CUTLERY RETROSPOT,17830.71,7090.0,1117,366,245
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,17746.71,21605.0,653,344,246
21914,BLUE HARMONICA IN BOX,17725.36,12957.0,963,446,247
22297,HEART IVORY TRELLIS SMALL,17702.62,13715.0,969,391,248
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,17664.18,17633.0,1145,463,249
22633,HAND WARMER UNION JACK,17576.67,8541.0,858,473,250
22776,SWEETHEART 3 TIER CAKE STAND,17530.46,1708.0,691,420,251
84467,ENGLISH ROSE DESIGN QUILTED THROW,17477.66,816.0,83,40,252
20718,RED RETROSPOT SHOPPER BAG,17457.35,13353.0,1213,428,253
21136,PAINTED METAL PEARS ASSORTED,17451.45,10496.0,739,449,254
22557,PLASTERS IN TIN VINTAGE PAISLEY,17401.3,10369.0,1126,580,255
84992,72 SWEETHEART FAIRY CAKE CASES,17259.85,34797.0,1460,614,256
22366,DOORMAT AIRMAIL,17242.3,2540.0,568,252,257
21889,WOODEN BOX OF DOMINOES,17095.66,12805.0,1123,595,258
21156,RETROSPOT CHILDRENS APRON,17002.28,9137.0,930,472,259
23240,SET OF 4 KNICK KNACK TINS DOILY,17000.17,4177.0,536,323,260
22654,DELUXE SEWING KIT,16971.27,2534.0,597,300,261
21535,RED RETROSPOT SMALL MILK JUG,16837.0,6776.0,1111,461,262
22652,TRAVEL SEWING KIT,16794.05,9910.0,830,440,263
21164,HOME SWEET HOME METAL SIGN,16626.41,5981.0,721,356,264
21533,RETROSPOT LARGE MILK JUG,16614.87,3343.0,954,425,265
22993,SET OF 4 PANTRY JELLY MOULDS,16478.48,12649.0,1073,431,266
22837,,16455.18,3534.0,450,221,267
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,16409.02,1699.0,494,301,268
22487,WHITE WOOD GARDEN PLANT LADDER,16373.7,1632.0,898,611,269
21155,RED RETROSPOT PEG BAG,16343.09,6665.0,969,364,270
23301,GARDENERS KNEELING PAD KEEP CALM,16327.35,8807.0,913,405,271
35004C,,16218.1,3062.0,380,112,272
22191,IVORY DINER WALL CLOCK,16216.05,1967.0,620,335,273
22662,LUNCH BAG DOLLY GIRL DESIGN,16213.61,9951.0,994,426,274
22193,RED DINER WALL CLOCK,16117.98,1910.0,617,265,275
22296,HEART IVORY TRELLIS LARGE,16027.56,9719.0,833,428,276
22692,DOORMAT WELCOME TO OUR HOME,15965.95,2135.0,606,293,277
21877,HOME SWEET HOME MUG,15954.75,14054.0,755,323,278
22634,CHILDS BREAKFAST SET SPACEBOY,15946.55,1688.0,499,322,279
22759,check,15866.56,9380.0,795,472,280
22690,DOORMAT HOME SWEET HOME BLUE,15836.35,2530.0,437,278,281
23313,VINTAGE CHRISTMAS BUNTING,15798.66,2990.0,401,254,282
22635,CHILDS BREAKFAST SET DOLLY GIRL,15795.01,1660.0,485,325,283
22367,CHILDRENS APRON SPACEBOY DESIGN,15778.67,8059.0,1156,593,284
84375,SET OF 20 KIDS COOKIE CUTTERS,15753.18,7575.0,796,389,285
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,15645.27,2385.0,575,279,286
22333,RETROSPOT PARTY BAG + STICKER SET,15639.65,10030.0,697,333,287
22619,SET OF 6 SOLDIER SKITTLES,15620.09,4008.0,708,421,288
85232B,,15587.0,3086.0,561,208,289
21891,TRADITIONAL WOODEN SKIPPING ROPE,15547.75,12142.0,835,483,290
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,15411.9,5026.0,997,383,291
84378,SET OF 3 HEART COOKIE CUTTERS,15388.44,11637.0,1248,601,292
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,15354.35,3759.0,685,383,293
21094,SET/6 RED SPOTTY PAPER PLATES,15334.03,19633.0,984,328,294
21844,RED RETROSPOT MUG,15329.44,5374.0,494,252,295
22365,DOORMAT RESPECTABLE HOUSE,15289.79,2329.0,443,193,296
22940,FELTCRAFT CHRISTMAS FAIRY,15282.81,3491.0,586,392,297
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,15275.82,17144.0,1086,578,298
21975,PACK OF 60 DINOSAUR CAKE CASES,15236.62,31332.0,1303,543,299
21165,BEWARE OF THE CAT METAL SIGN,15167.38,9360.0,966,321,300
82582,AREA PATROLLED METAL SIGN,15110.98,7479.0,796,258,301
35970,ZINC FOLKART SLEIGH BELLS,15072.58,8375.0,692,415,302
22946,WOODEN ADVENT CALENDAR CREAM,15060.57,976.0,275,152,303
22606,WOODEN SKITTLES GARDEN SET,14881.94,1069.0,374,269,304
22730,ALARM CLOCK BAKELIKE IVORY,14867.27,3702.0,746,289,305
21122,SET/10 PINK POLKADOT PARTY CANDLES,14844.78,12209.0,807,441,306
21770,OPEN CLOSED METAL SIGN,14807.3,2991.0,651,423,307
17003,BROCADE RING PURSE,14766.42,70369.0,456,215,308
22485,SET OF 2 WOODEN MARKET CRATES,14677.84,1101.0,419,280,309
21912,VINTAGE SNAKES & LADDERS,14651.33,3734.0,828,447,310
21380,WOODEN HAPPY BIRTHDAY GARLAND,14593.32,5031.0,651,325,311
84050,check,14525.0,9853.0,715,308,312
22150,3 STRIPEY MICE FELTCRAFT,14486.55,7815.0,938,505,313
22179,SET 10 NIGHT OWL LIGHTS,14418.61,2023.0,566,201,314
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,14411.13,11120.0,815,278,315
20748,KENSINGTON COFFEE SET,14266.98,1600.0,183,86,316
21169,YOU'RE CONFUSING ME METAL SIGN,14262.61,8856.0,772,278,317
23200,JUMBO BAG PEARS,14188.96,7067.0,595,262,318
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,14076.34,10405.0,1114,490,319
22804,PINK HANGING HEART T-LIGHT HOLDER,14075.8,5261.0,670,351,320
22627,MINT KITCHEN SCALES,14016.8,1600.0,653,322,321
35400,WOODEN BOX ADVENT CALENDAR,13999.1,1435.0,419,241,322
23343,JUMBO BAG VINTAGE CHRISTMAS,13972.71,6078.0,476,286,323
21257,VICTORIAN SEWING BOX MEDIUM,13968.48,1549.0,532,206,324
22236,CAKE STAND 3 TIER MAGIC GARDEN,13965.52,1127.0,421,251,325
22271,FELTCRAFT DOLL ROSIE,13921.73,4866.0,787,400,326
21668,RED STRIPE CERAMIC DRAWER KNOB,13912.17,10357.0,825,255,327
22295,HEART FILIGREE DOVE LARGE,13873.54,8411.0,706,381,328
21888,BINGO SET,13862.17,3520.0,825,444,329
22444,GROW YOUR OWN PLANT IN A CAN,13856.6,10132.0,453,249,330
21259,VICTORIAN SEWING BOX SMALL,13843.92,2293.0,655,300,331
21669,BLUE STRIPE CERAMIC DRAWER KNOB,13839.18,10578.0,805,262,332
79323P,"Unsaleable, destroyed.",13787.93,2281.0,265,132,333
22621,TRADITIONAL KNITTING NANCY,13784.32,8726.0,875,507,334
22109,FULL ENGLISH BREAKFAST PLATE,13750.11,3338.0,642,205,335
47556B,TEA TIME TEA TOWELS,13714.66,5205.0,453,209,336
23077,DOUGHNUT LIP GLOSS,13695.77,10395.0,344,217,337
21871,SAVE THE PLANET MUG,13654.89,11492.0,779,299,338
22667,RECIPE BOX RETROSPOT,13586.35,4845.0,848,406,339
21390,FILIGRIS HEART WITH BUTTERFLY,13552.97,10937.0,588,280,340
21539,RED RETROSPOT BUTTER DISH,13551.64,2723.0,709,290,341
22636,CHILDS BREAKFAST SET CIRCUS PARADE,13437.03,1618.0,489,312,342
C2,CARRIAGE,13426.0,268.0,267,45,343
23356,LOVE HOT WATER BOTTLE,13334.32,2359.0,476,316,344
23207,LUNCH BAG ALPHABET DESIGN,13325.55,7830.0,740,377,345
22207,FRYING PAN UNION FLAG,13298.57,3103.0,480,189,346
23108,SET OF 10 LED DOLLY LIGHTS,13290.52,2219.0,372,271,347
22584,PACK OF 6 PANETTONE GIFT BOXES,13287.78,5222.0,589,417,348
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,13272.39,10050.0,763,263,349
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,13269.49,2841.0,405,195,350
22846,BREAD BIN DINER STYLE RED,13264.82,825.0,346,189,351
21098,CHRISTMAS TOILET ROLL,13263.93,8537.0,596,269,352
21704,BAG 250g SWIRLY MARBLES,13235.16,17175.0,568,287,353
22838,3 TIER CAKE TIN RED AND CREAM,13220.86,922.0,271,184,354
15044A,PINK PAPER PARASOL,13210.85,4964.0,250,116,355
