transaction_key,invoice,full_date,stock_code,description,country,quantity,unit_price,line_value,transaction_type,record_status
209,C489459,2009-12-01,90082D,DIAMANTE BOW BROOCH BLACK COLOUR,United Kingdom,-2,6.35,-12.7,Cancellation,Valid
264,489464,2009-12-01,21733,RED HANGING HEART T-LIGHT HOLDER,United Kingdom,-96,0.0,0.0,Stock Adjustment,Zero Price
284,489463,2009-12-01,71477,COLOURED GLASS STAR T-LIGHT HOLDER,United Kingdom,-240,0.0,0.0,Stock Adjustment,Zero Price
285,489467,2009-12-01,85123A,CREAM HANGING HEART T-LIGHT HOLDER,United Kingdom,-192,0.0,0.0,Stock Adjustment,Zero Price
286,C489476,2009-12-01,22149,check,United Kingdom,-6,2.1,-12.6,Cancellation,Valid
317,C489503,2009-12-01,21540,damages,United Kingdom,-2,4.25,-8.5,Cancellation,Valid
318,C489503,2009-12-01,21533,RETROSPOT LARGE MILK JUG,United Kingdom,-1,4.95,-4.95,Cancellation,Valid
319,C489504,2009-12-01,85083,,United Kingdom,-6,2.55,-15.3,Cancellation,Valid
392,C489518,2009-12-01,20892,,United Kingdom,-2,12.75,-25.5,Cancellation,Valid
393,C489518,2009-12-01,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,United Kingdom,-1,7.95,-7.95,Cancellation,Valid
394,C489518,2009-12-01,22138,BAKING SET 9 PIECE RETROSPOT,United Kingdom,-1,4.95,-4.95,Cancellation,Valid
463,489521,2009-12-01,21646,,United Kingdom,-50,0.0,0.0,Stock Adjustment,Zero Price
569,C489524,2009-12-01,21258,VICTORIAN SEWING BOX LARGE,United Kingdom,-1,12.75,-12.75,Cancellation,Valid
582,C489527,2009-12-01,21041,RED RETROSPOT OVEN GLOVE DOUBLE,United Kingdom,-3,2.95,-8.85,Cancellation,Valid
583,C489527,2009-12-01,21173,,United Kingdom,-12,1.65,-19.8,Cancellation,Valid
584,C489527,2009-12-01,85124A,,United Kingdom,-6,2.55,-15.3,Cancellation,Valid
619,C489528,2009-12-01,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,United Kingdom,-1,7.95,-7.95,Cancellation,Valid
667,C489530,2009-12-01,72803A,ROSE SCENT CANDLE JEWELLED DRAWER,United Kingdom,-1,4.25,-4.25,Cancellation,Valid
722,C489534,2009-12-01,35832,WOOLLY HAT SOCK GLOVE ADVENT STRING,France,-1,5.95,-5.95,Cancellation,Valid
723,C489535,2009-12-01,D,Discount,United Kingdom,-1,9.0,-9.0,Cancellation,Valid
724,C489535,2009-12-01,D,Discount,United Kingdom,-1,19.0,-19.0,Cancellation,Valid
899,C489538,2009-12-01,22183,CAKE STAND VICTORIAN FILIGREE MED,United Kingdom,-4,6.75,-27.0,Cancellation,Valid
900,C489538,2009-12-01,POST,POSTAGE,United Kingdom,-1,9.58,-9.58,Cancellation,Valid
906,C489541,2009-12-01,21254,,United Kingdom,-4,2.95,-11.8,Cancellation,Valid
926,C489543,2009-12-01,35400,WOODEN BOX ADVENT CALENDAR,United Kingdom,-2,8.95,-17.9,Cancellation,Valid
1079,C489549,2009-12-01,35400,WOODEN BOX ADVENT CALENDAR,United Kingdom,-2,7.95,-15.9,Cancellation,Valid
1103,C489551,2009-12-01,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,United Kingdom,-1,6.95,-6.95,Cancellation,Valid
1129,C489553,2009-12-01,35004S,SET OF 3 SILVER FLYING DUCKS,United Kingdom,-1,6.35,-6.35,Cancellation,Valid
1130,C489553,2009-12-01,35001W,,United Kingdom,-6,3.49,-20.94,Cancellation,Valid
1131,C489554,2009-12-01,85042,ANTIQUE LILY FAIRY LIGHTS,United Kingdom,-3,4.25,-12.75,Cancellation,Valid
1132,C489554,2009-12-01,35001B,,United Kingdom,-2,2.95,-5.9,Cancellation,Valid
1133,C489555,2009-12-01,21260,FIRST AID TIN,United Kingdom,-6,3.25,-19.5,Cancellation,Valid
1321,C489563,2009-12-01,90088,CRYSTAL KEY+LOCK PHONE CHARM,United Kingdom,-24,0.85,-20.4,Cancellation,Valid
1322,C489563,2009-12-01,90090,PINK CRYSTAL HEART PHONE CHARM,United Kingdom,-24,0.85,-20.4,Cancellation,Valid
1323,C489563,2009-12-01,90084,,United Kingdom,-12,0.85,-10.2,Cancellation,Valid
1324,C489563,2009-12-01,90093,CLEAR CRYSTAL STAR PHONE CHARM,United Kingdom,-24,0.85,-20.4,Cancellation,Valid
1325,C489563,2009-12-01,90085,CRYSTAL STILETTO PHONE CHARM,United Kingdom,-81,0.85,-68.85,Cancellation,Valid
1326,C489563,2009-12-01,90092,BLUE CRYSTAL BOOT PHONE CHARM,United Kingdom,-24,0.85,-20.4,Cancellation,Valid
1327,C489563,2009-12-01,90087,CRYSTAL SEA HORSE PHONE CHARM,United Kingdom,-48,0.85,-40.8,Cancellation,Valid
1328,C489563,2009-12-01,90092,BLUE CRYSTAL BOOT PHONE CHARM,United Kingdom,-3,0.85,-2.55,Cancellation,Valid
1329,C489563,2009-12-01,90090,PINK CRYSTAL HEART PHONE CHARM,United Kingdom,-12,0.85,-10.2,Cancellation,Valid
1344,C489565,2009-12-01,90125A,PINK BERTIE GLASS BEAD BAG CHARM,United Kingdom,-12,2.1,-25.2,Cancellation,Valid
1391,C489568,2009-12-01,22107,PIZZA PLATE IN BOX,United Kingdom,-1,3.75,-3.75,Cancellation,Valid
1392,C489568,2009-12-01,82483,WOOD 2 DRAWER CABINET WHITE FINISH,United Kingdom,-1,5.95,-5.95,Cancellation,Valid
1393,C489568,2009-12-01,22138,BAKING SET 9 PIECE RETROSPOT,United Kingdom,-1,4.95,-4.95,Cancellation,Valid
1394,C489568,2009-12-01,21218,RED SPOTTY BISCUIT TIN,United Kingdom,-1,3.75,-3.75,Cancellation,Valid
1395,C489570,2009-12-01,79323W,"Unsaleable, destroyed.",United Kingdom,-1,6.75,-6.75,Cancellation,Valid
1396,C489570,2009-12-01,15056N,EDWARDIAN PARASOL NATURAL,United Kingdom,-1,5.95,-5.95,Cancellation,Valid
1397,C489570,2009-12-01,85103,stock creditted wrongly,United Kingdom,-1,6.75,-6.75,Cancellation,Valid
1398,C489570,2009-12-01,20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,United Kingdom,-1,2.95,-2.95,Cancellation,Valid
1630,C489577,2009-12-01,37503,TEA TIME CAKE STAND IN GIFT BOX,United Kingdom,-3,9.95,-29.85,Cancellation,Valid
1631,C489577,2009-12-01,22127,sold in set?,United Kingdom,-48,1.25,-60.0,Cancellation,Valid
1632,C489577,2009-12-01,37501,,United Kingdom,-1,6.95,-6.95,Cancellation,Valid
1650,C489578,2009-12-01,21481,FAWN BLUE HOT WATER BOTTLE,United Kingdom,-1,2.95,-2.95,Cancellation,Valid
1693,C489583,2009-12-01,72807B,????missing,United Kingdom,-1,4.25,-4.25,Cancellation,Valid
1694,C489583,2009-12-01,72802C,VANILLA SCENT CANDLE JEWELLED BOX,United Kingdom,-1,4.25,-4.25,Cancellation,Valid
1695,C489583,2009-12-01,72802B,check,United Kingdom,-2,4.25,-8.5,Cancellation,Valid
1696,C489583,2009-12-01,85047,WHITE BEADED GARLAND STRING 20LIGHT,United Kingdom,-1,6.35,-6.35,Cancellation,Valid
1727,C489587,2009-12-01,21639,,United Kingdom,-5,0.85,-4.25,Cancellation,Valid
1728,C489588,2009-12-01,79323P,"Unsaleable, destroyed.",United Kingdom,-2,6.75,-13.5,Cancellation,Valid
1729,C489588,2009-12-01,79323GR,"Unsaleable, destroyed.",United Kingdom,-2,6.75,-13.5,Cancellation,Valid
1730,C489588,2009-12-01,22120,WELCOME  WOODEN BLOCK LETTERS,United Kingdom,-1,9.95,-9.95,Cancellation,Valid
1731,C489589,2009-12-01,21535,RED RETROSPOT SMALL MILK JUG,United Kingdom,-1,2.55,-2.55,Cancellation,Valid
1732,C489589,2009-12-01,22073,,United Kingdom,-1,3.75,-3.75,Cancellation,Valid
1760,C489591,2009-12-01,79323B,"Unsaleable, destroyed.",United Kingdom,-3,5.45,-16.35,Cancellation,Valid
1790,C489592,2009-12-01,22301,COFFEE MUG CAT + BIRD DESIGN,United Kingdom,-2,2.55,-5.1,Cancellation,Valid
1841,C489595,2009-12-01,21752,GLASS CAKE STAND MIRRORED BASE,United Kingdom,-1,14.95,-14.95,Cancellation,Valid
2610,C489605,2009-12-01,21257,VICTORIAN SEWING BOX MEDIUM,United Kingdom,-2,7.95,-15.9,Cancellation,Valid
2689,C489610,2009-12-01,21364,PEACE SMALL WOOD LETTERS,United Kingdom,-1,6.75,-6.75,Cancellation,Valid
2690,C489610,2009-12-01,22164,STRING OF STARS CARD HOLDER,United Kingdom,-1,2.95,-2.95,Cancellation,Valid
2691,C489610,2009-12-01,21892,TRADITIONAL WOODEN CATCH CUP GAME,United Kingdom,-3,1.25,-3.75,Cancellation,Valid
2692,C489610,2009-12-01,20682,RED RETROSPOT CHILDRENS UMBRELLA,United Kingdom,-1,3.25,-3.25,Cancellation,Valid
2693,C489610,2009-12-01,85123A,CREAM HANGING HEART T-LIGHT HOLDER,United Kingdom,-1,2.95,-2.95,Cancellation,Valid
2694,C489610,2009-12-01,22138,BAKING SET 9 PIECE RETROSPOT,United Kingdom,-2,4.95,-9.9,Cancellation,Valid
2831,C489632,2009-12-01,20814,,United Kingdom,-12,1.25,-15.0,Cancellation,Valid
2832,C489632,2009-12-01,20814,,United Kingdom,-1,1.25,-1.25,Cancellation,Valid
2855,C489636,2009-12-01,21576,LETS GO SHOPPING COTTON TOTE BAG,United Kingdom,-2,2.25,-4.5,Cancellation,Valid
2856,C489636,2009-12-01,21579,LOLITA  DESIGN  COTTON TOTE BAG,United Kingdom,-1,2.25,-2.25,Cancellation,Valid
2857,C489636,2009-12-01,21578,WOODLAND DESIGN  COTTON TOTE BAG,United Kingdom,-2,2.25,-4.5,Cancellation,Valid
2858,C489636,2009-12-01,22142,CHRISTMAS CRAFT WHITE FAIRY,United Kingdom,-2,1.45,-2.9,Cancellation,Valid
2859,C489636,2009-12-01,22145,,United Kingdom,-2,2.1,-4.2,Cancellation,Valid
2860,C489636,2009-12-01,22144,CHRISTMAS CRAFT LITTLE FRIENDS,United Kingdom,-1,2.1,-2.1,Cancellation,Valid
2861,C489636,2009-12-01,21329,DINOSAURS  WRITING SET,United Kingdom,-8,1.65,-13.2,Cancellation,Valid
2862,C489636,2009-12-01,21330,,United Kingdom,-9,1.65,-14.85,Cancellation,Valid
2863,C489636,2009-12-01,84029E,RED WOOLLY HOTTIE WHITE HEART.,United Kingdom,-4,3.75,-15.0,Cancellation,Valid
2864,C489636,2009-12-01,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,United Kingdom,-3,2.95,-8.85,Cancellation,Valid
2865,C489636,2009-12-01,21577,SAVE THE PLANET COTTON TOTE BAG,United Kingdom,-1,2.25,-2.25,Cancellation,Valid
2948,C489643,2009-12-01,20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,United Kingdom,-1,3.25,-3.25,Cancellation,Valid
2949,C489643,2009-12-01,22167,OVAL WALL MIRROR DIAMANTE,United Kingdom,-1,9.95,-9.95,Cancellation,Valid
2950,C489643,2009-12-01,84839,SWEETHEART KEY CABINET,United Kingdom,-2,6.75,-13.5,Cancellation,Valid
2951,C489643,2009-12-01,21429,RED GINGHAM ROSE JEWELLERY BOX,United Kingdom,-1,1.65,-1.65,Cancellation,Valid
2952,C489643,2009-12-01,47594B,SCOTTIES DESIGN WASHBAG,United Kingdom,-1,1.95,-1.95,Cancellation,Valid
3017,C489651,2009-12-01,M,Manual,United Kingdom,-1,5.1,-5.1,Cancellation,Valid
3078,489655,2009-12-01,20683,,United Kingdom,-44,0.0,0.0,Stock Adjustment,Zero Price
3125,489659,2009-12-01,21350,,United Kingdom,230,0.0,0.0,Sale,Zero Price
3126,489660,2009-12-01,35956,lost,United Kingdom,-1043,0.0,0.0,Stock Adjustment,Zero Price
3132,489663,2009-12-01,35605A,damages,United Kingdom,-117,0.0,0.0,Stock Adjustment,Zero Price
3415,C489685,2009-12-02,POST,POSTAGE,France,-1,18.0,-18.0,Cancellation,Valid
3416,C489685,2009-12-02,21843,RED RETROSPOT CAKE STAND,France,-1,10.95,-10.95,Cancellation,Valid
3417,C489686,2009-12-02,79191C,RETRO PLASTIC ELEPHANT TRAY,United Kingdom,-2,0.85,-1.7,Cancellation,Valid
3433,C489689,2009-12-02,21843,RED RETROSPOT CAKE STAND,United Kingdom,-2,10.95,-21.9,Cancellation,Valid
3505,C489713,2009-12-02,21094,SET/6 RED SPOTTY PAPER PLATES,Japan,-150,0.64,-96.0,Cancellation,Valid
3506,C489713,2009-12-02,22071,SMALL WHITE RETROSPOT MUG IN BOX,Japan,-18,2.75,-49.5,Cancellation,Valid
3507,C489713,2009-12-02,22070,SMALL RED RETROSPOT MUG IN BOX,Japan,-23,2.75,-63.25,Cancellation,Valid
3679,C489771,2009-12-02,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,United Kingdom,-1,2.95,-2.95,Cancellation,Valid
3688,489781,2009-12-02,84292,ROSE PINK METAL FOLDING CHAIR,United Kingdom,17,0.0,0.0,Sale,Zero Price
4087,C489799,2009-12-02,21929,JUMBO BAG PINK VINTAGE PAISLEY,United Kingdom,-2,1.95,-3.9,Cancellation,Valid
4088,C489799,2009-12-02,20711,JUMBO BAG TOYS,United Kingdom,-2,1.95,-3.9,Cancellation,Valid
4171,C489803,2009-12-02,21843,RED RETROSPOT CAKE STAND,United Kingdom,-1,10.95,-10.95,Cancellation,Valid
4234,489806,2009-12-02,18010,,United Kingdom,-770,0.0,0.0,Stock Adjustment,Zero Price
4346,C489813,2009-12-02,84472,,United Kingdom,-1,45.95,-45.95,Cancellation,Valid
4347,C489813,2009-12-02,84622,,United Kingdom,-1,5.95,-5.95,Cancellation,Valid
4472,489820,2009-12-02,21133,,United Kingdom,-720,0.0,0.0,Stock Adjustment,Zero Price
4500,489821,2009-12-02,85049g,CHOCOLATE BOX RIBBONS,United Kingdom,-240,0.0,0.0,Stock Adjustment,Zero Price
4608,489825,2009-12-02,22076,6 RIBBONS EMPIRE,United Kingdom,12,0.0,0.0,Sale,Zero Price
4657,C489828,2009-12-02,72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,United Kingdom,-2,4.25,-8.5,Cancellation,Valid
5356,C489858,2009-12-02,22198,LARGE POPCORN HOLDER,Germany,-7,1.65,-11.55,Cancellation,Valid
5357,C489858,2009-12-02,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,Germany,-3,2.95,-8.85,Cancellation,Valid
5827,C489859,2009-12-02,M,Manual,United Kingdom,-1,69.57,-69.57,Cancellation,Valid
5828,C489860,2009-12-02,90029,NEW BAROQUE SMALL NECKLACE BLACK,United Kingdom,-1,8.5,-8.5,Cancellation,Valid
5834,489861,2009-12-02,DOT,DOTCOM POSTAGE,United Kingdom,1,0.0,0.0,Sale,Zero Price
6298,C489881,2009-12-02,21102,,Nigeria,-31,2.55,-79.05,Cancellation,Valid
6299,C489881,2009-12-02,72802A,ROSE SCENT CANDLE IN JEWELLED BOX,Nigeria,-16,4.25,-68.0,Cancellation,Valid
6300,489882,2009-12-02,35751C,PURPLE CURRENT CANDLE RING,United Kingdom,12,0.0,0.0,Sale,Zero Price
6477,489898,2009-12-03,79323G,"Unsaleable, destroyed.",United Kingdom,954,0.0,0.0,Sale,Zero Price
6478,489899,2009-12-03,79323GR,"Unsaleable, destroyed.",United Kingdom,-954,0.0,0.0,Stock Adjustment,Zero Price
6498,489901,2009-12-03,21098,CHRISTMAS TOILET ROLL,United Kingdom,-200,0.0,0.0,Stock Adjustment,Zero Price
6503,489903,2009-12-03,21166,COOK WITH WINE METAL SIGN,United Kingdom,48,0.0,0.0,Sale,Zero Price
6613,C489911,2009-12-03,85232A,,Germany,-6,4.95,-29.7,Cancellation,Valid
6614,C489911,2009-12-03,21491,,Germany,-3,1.95,-5.85,Cancellation,Valid
6615,C489911,2009-12-03,21432,,Germany,-1,5.95,-5.95,Cancellation,Valid
6686,C489955,2009-12-03,20870,,Spain,-1,2.1,-2.1,Cancellation,Valid
6687,C489955,2009-12-03,21232,STRAWBERRY CERAMIC TRINKET POT,Spain,-1,1.25,-1.25,Cancellation,Valid
6688,C489958,2009-12-03,22044,CHRISTMAS CARD STACK OF PRESENTS,United Kingdom,-1,0.42,-0.42,Cancellation,Valid
6689,C489958,2009-12-03,85069,,United Kingdom,-3,16.95,-50.85,Cancellation,Valid
6690,C489973,2009-12-03,21232,STRAWBERRY CERAMIC TRINKET POT,United Kingdom,-6,1.25,-7.5,Cancellation,Valid
6691,C489973,2009-12-03,22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,United Kingdom,-1,2.95,-2.95,Cancellation,Valid
6703,489998,2009-12-03,48185,DOORMAT FAIRY CAKE,United Kingdom,2,0.0,0.0,Sale,Zero Price
6833,490007,2009-12-03,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,United Kingdom,-720,0.0,0.0,Stock Adjustment,Zero Price
7124,490015,2009-12-03,21982,PACK OF 12 SUKI TISSUES,United Kingdom,467,0.0,0.0,Sale,Zero Price
7125,490016,2009-12-03,21982,PACK OF 12 SUKI TISSUES,United Kingdom,-1012,0.0,0.0,Stock Adjustment,Zero Price
7411,C490051,2009-12-03,22215,CAKE STAND WHITE TWO TIER LACE,United Kingdom,-2,8.5,-17.0,Cancellation,Valid
7412,C490051,2009-12-03,22220,CAKE STAND LOVEBIRD 2 TIER WHITE,United Kingdom,-2,9.95,-19.9,Cancellation,Valid
7479,490055,2009-12-03,20620,,United Kingdom,-25,0.0,0.0,Stock Adjustment,Zero Price
8319,C490076,2009-12-03,22139,RETROSPOT TEA SET CERAMIC 11 PC,United Kingdom,-1,4.95,-4.95,Cancellation,Valid
8468,490084,2009-12-03,85064,CREAM SWEETHEART LETTER RACK,United Kingdom,-89,0.0,0.0,Stock Adjustment,Zero Price
8655,C490096,2009-12-03,20726,LUNCH BAG WOODLAND,United Kingdom,-1,1.65,-1.65,Cancellation,Valid
8691,C490098,2009-12-03,21868,POTTING SHED TEA MUG,United Kingdom,-5,1.25,-6.25,Cancellation,Valid
9014,C490117,2009-12-03,POST,POSTAGE,United Kingdom,-1,2.99,-2.99,Cancellation,Valid
9015,C490117,2009-12-03,22258,FELT FARM ANIMAL RABBIT,United Kingdom,-48,1.25,-60.0,Cancellation,Valid
9064,C490120,2009-12-03,POST,POSTAGE,France,-2,18.0,-36.0,Cancellation,Valid
9065,C490120,2009-12-03,21092,phil said so,France,-12,0.85,-10.2,Cancellation,Valid
9066,C490120,2009-12-03,21099,,France,-12,0.65,-7.8,Cancellation,Valid
9067,C490120,2009-12-03,21094,SET/6 RED SPOTTY PAPER PLATES,France,-12,0.85,-10.2,Cancellation,Valid
9068,C490120,2009-12-03,21080,SET/20 RED RETROSPOT PAPER NAPKINS,France,-12,0.85,-10.2,Cancellation,Valid
9069,C490120,2009-12-03,21086,SET/6 RED SPOTTY PAPER CUPS,France,-12,0.65,-7.8,Cancellation,Valid
9070,C490120,2009-12-03,21121,SET/10 RED POLKADOT PARTY CANDLES,France,-24,1.25,-30.0,Cancellation,Valid
9071,C490120,2009-12-03,22352,LUNCH BOX WITH CUTLERY RETROSPOT,France,-12,2.55,-30.6,Cancellation,Valid
9072,C490120,2009-12-03,22353,LUNCH BOX WITH CUTLERY FAIRY CAKES,France,-6,2.55,-15.3,Cancellation,Valid
9073,C490120,2009-12-03,21212,PACK OF 72 RETROSPOT CAKE CASES,France,-24,0.55,-13.2,Cancellation,Valid
9074,C490120,2009-12-03,84997a,CHILDRENS CUTLERY POLKADOT GREEN,France,-6,3.75,-22.5,Cancellation,Valid
9075,C490120,2009-12-03,84997D,CHILDRENS CUTLERY POLKADOT PINK,France,-6,3.75,-22.5,Cancellation,Valid
9076,C490120,2009-12-03,22333,RETROSPOT PARTY BAG + STICKER SET,France,-16,1.65,-26.4,Cancellation,Valid
9077,C490120,2009-12-03,20682,RED RETROSPOT CHILDRENS UMBRELLA,France,-6,3.25,-19.5,Cancellation,Valid
9078,C490120,2009-12-03,20681,PINK POLKADOT CHILDRENS UMBRELLA,France,-6,3.25,-19.5,Cancellation,Valid
9079,C490120,2009-12-03,21889,WOODEN BOX OF DOMINOES,France,-12,1.25,-15.0,Cancellation,Valid
9080,C490120,2009-12-03,22331,WOODLAND PARTY BAG + STICKER SET,France,-8,1.65,-13.2,Cancellation,Valid
9081,C490120,2009-12-03,22138,BAKING SET 9 PIECE RETROSPOT,France,-9,4.95,-44.55,Cancellation,Valid
9114,C490122,2009-12-03,21432,,United Kingdom,-1,5.95,-5.95,Cancellation,Valid
9115,C490122,2009-12-03,21540,damages,United Kingdom,-1,4.25,-4.25,Cancellation,Valid
9159,490123,2009-12-03,84508B,STRIPES DESIGN TEDDY,United Kingdom,184,0.0,0.0,Sale,Zero Price
9169,C490126,2009-12-03,M,Manual,United Kingdom,-1,5.95,-5.95,Cancellation,Valid
9216,C490129,2009-12-03,M,Manual,United Kingdom,-1,1998.49,-1998.49,Cancellation,Valid
9217,490130,2009-12-03,21493,,United Kingdom,-600,0.0,0.0,Stock Adjustment,Zero Price
9218,C490131,2009-12-03,84828,JUNGLE POPSICLES ICE LOLLY MOULDS,United Kingdom,-12,1.25,-15.0,Cancellation,Valid
9231,C490133,2009-12-03,72045D,,United Kingdom,-504,1.69,-851.76,Cancellation,Valid
9232,C490133,2009-12-03,20971,PINK BLUE FELT CRAFT TRINKET BOX,United Kingdom,-600,1.06,-636.0,Cancellation,Valid
9233,C490133,2009-12-03,21314,SMALL GLASS HEART TRINKET POT,United Kingdom,-504,1.85,-932.4,Cancellation,Valid
9234,C490133,2009-12-03,21314,SMALL GLASS HEART TRINKET POT,United Kingdom,-252,1.85,-466.2,Cancellation,Valid
9235,C490133,2009-12-03,21314,SMALL GLASS HEART TRINKET POT,United Kingdom,-246,1.85,-455.1,Cancellation,Valid
9574,490146,2009-12-04,21558,SKULL LUNCH BOX WITH CUTLERY,United Kingdom,-169,0.0,0.0,Stock Adjustment,Zero Price
9583,C490148,2009-12-04,85123A,CREAM HANGING HEART T-LIGHT HOLDER,United Kingdom,-1,2.95,-2.95,Cancellation,Valid
10143,490150,2009-12-04,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,United Kingdom,80,0.0,0.0,Sale,Zero Price
10187,C490153,2009-12-04,21265,PINK GOOSE FEATHER TREE 60CM,France,-1,9.95,-9.95,Cancellation,Valid
10188,C490153,2009-12-04,21527,RED RETROSPOT TRADITIONAL TEAPOT,France,-2,7.95,-15.9,Cancellation,Valid
10189,C490153,2009-12-04,22180,RETROSPOT LAMP,France,-2,9.95,-19.9,Cancellation,Valid
10238,C490155,2009-12-04,82483,WOOD 2 DRAWER CABINET WHITE FINISH,United Kingdom,-1,5.95,-5.95,Cancellation,Valid
10414,490165,2009-12-04,21493,,United Kingdom,-106,0.0,0.0,Stock Adjustment,Zero Price
10556,C490251,2009-12-04,84081,WHITE CERAMIC PARTY SET (5PCS),United Kingdom,-1,4.25,-4.25,Cancellation,Valid
10558,C490269,2009-12-04,78056,CAMOUFLAGE BACKPACK ON WHEELS,United Kingdom,-1,8.5,-8.5,Cancellation,Valid
10559,C490269,2009-12-04,21539,RED RETROSPOT BUTTER DISH,United Kingdom,-1,4.95,-4.95,Cancellation,Valid
10732,C490283,2009-12-04,22072,RED RETROSPOT TEA CUP AND SAUCER,Italy,-1,3.75,-3.75,Cancellation,Valid
10733,C490283,2009-12-04,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,Italy,-1,2.95,-2.95,Cancellation,Valid
10734,C490283,2009-12-04,21231,SWEETHEART CERAMIC TRINKET BOX,Italy,-1,1.25,-1.25,Cancellation,Valid
10735,C490283,2009-12-04,21232,STRAWBERRY CERAMIC TRINKET POT,Italy,-1,1.25,-1.25,Cancellation,Valid
10736,C490283,2009-12-04,20747,PICCADILLY TEA SET,Italy,-1,14.95,-14.95,Cancellation,Valid
11081,C490296,2009-12-04,POST,POSTAGE,Spain,-1,28.0,-28.0,Cancellation,Valid
11422,C490306,2009-12-04,21989,PACK OF 20 SKULL PAPER NAPKINS,United Kingdom,-36,0.85,-30.6,Cancellation,Valid
11423,C490307,2009-12-04,POST,POSTAGE,United Kingdom,-1,8.97,-8.97,Cancellation,Valid
11440,C490309,2009-12-04,22138,BAKING SET 9 PIECE RETROSPOT,United Kingdom,-3,4.95,-14.85,Cancellation,Valid
11750,C490343,2009-12-04,21634,ASSORTED MINI MADRAS NOTEBOOK,United Kingdom,-24,1.25,-30.0,Cancellation,Valid
11779,C490348,2009-12-04,90002E,,United Kingdom,-1,3.75,-3.75,Cancellation,Valid
11780,C490348,2009-12-04,90040C,MURANO STYLE GLASS BRACELET GOLD,United Kingdom,-3,3.5,-10.5,Cancellation,Valid
11781,C490348,2009-12-04,90040A,MURANO STYLE GLASS BRACELET RED,United Kingdom,-3,3.5,-10.5,Cancellation,Valid
11785,C490350,2009-12-04,90002E,,United Kingdom,-2,3.75,-7.5,Cancellation,Valid
