customer_id,revenue,orders,units_purchased,products_purchased,first_purchase_date,latest_purchase_date,customer_segment
15856,32275.95,52,19550.0,384,2009-12-03,2011-12-05,High Value
12682,22950.22,52,10522.0,327,2009-12-01,2011-12-06,High Value
18172,17467.24,52,7407.0,176,2009-12-11,2011-11-25,High Value
17450,244784.25,51,83914.0,144,2010-09-27,2011-12-01,High Value
16525,24151.3,48,14430.0,115,2009-12-02,2011-12-07,High Value
15615,21373.97,47,12090.0,292,2009-12-02,2011-11-29,High Value
17811,9519.8,47,5278.0,538,2010-09-20,2011-12-05,High Value
17068,8987.68,47,4351.0,250,2010-03-28,2011-11-27,High Value
15769,88612.52,46,49068.0,26,2009-12-11,2011-12-02,High Value
17865,26312.19,46,12950.0,391,2009-12-01,2011-11-09,High Value
15189,17524.38,46,6902.0,90,2010-07-18,2011-12-08,High Value
17448,14523.67,46,11534.0,569,2010-03-04,2010-07-30,High Value
17428,31466.76,45,17356.0,422,2009-12-01,2011-12-09,High Value
12681,29834.76,45,17011.0,459,2009-12-13,2011-11-25,High Value
14031,39019.51,44,13783.0,280,2009-12-03,2011-12-02,High Value
15498,24972.86,44,12134.0,597,2009-12-16,2011-12-07,High Value
16839,21758.25,44,11295.0,132,2010-02-11,2011-12-01,High Value
14560,6114.03,44,4580.0,60,2009-12-02,2011-12-02,High Value
13881,45179.1,43,29760.0,182,2010-03-04,2011-12-06,High Value
17581,17951.17,43,9519.0,387,2009-12-03,2011-12-09,High Value
14849,15407.61,43,11838.0,279,2010-01-10,2011-11-18,High Value
16161,12580.06,43,6255.0,458,2010-02-08,2011-12-08,High Value
17315,9599.58,43,5088.0,385,2010-09-27,2011-12-08,High Value
16705,43515.05,42,22302.0,400,2009-12-09,2011-12-09,High Value
16746,18046.75,42,11900.0,390,2009-12-04,2011-12-05,High Value
15358,16425.86,42,14902.0,359,2009-12-07,2011-12-05,High Value
15738,13043.32,41,9030.0,70,2009-12-10,2011-11-21,High Value
17576,8711.95,41,4583.0,417,2009-12-03,2011-12-01,High Value
12835,5996.83,41,2349.0,138,2009-12-03,2010-10-08,High Value
15291,13517.76,40,4905.0,116,2009-12-03,2011-11-14,High Value
12841,6958.2,40,5008.0,307,2010-07-08,2011-12-05,High Value
14543,14587.87,39,2639.0,106,2009-12-01,2011-11-11,High Value
12437,12683.4,39,8000.0,273,2009-12-02,2011-12-08,High Value
13854,11944.56,39,3642.0,61,2010-01-08,2011-12-01,High Value
13263,8676.2,39,5372.0,507,2010-10-22,2011-12-08,High Value
17381,36398.65,38,42879.0,50,2010-06-09,2011-12-01,High Value
14895,25119.54,38,10714.0,441,2009-12-10,2011-12-02,High Value
16558,13304.11,38,7813.0,383,2009-12-03,2011-12-09,High Value
16353,9795.46,38,3483.0,76,2009-12-07,2011-12-06,High Value
16782,9636.12,38,4027.0,575,2009-12-09,2011-11-29,High Value
18109,9555.71,38,4822.0,203,2010-07-01,2011-12-08,High Value
13069,9284.45,38,15171.0,573,2010-06-14,2011-12-09,High Value
18041,8018.77,38,7316.0,464,2010-01-14,2011-11-28,High Value
15581,7480.4,38,3028.0,542,2009-12-02,2011-08-11,High Value
14051,21770.98,37,5709.0,82,2009-12-03,2011-12-09,High Value
13113,18230.07,37,4435.0,166,2010-03-28,2011-12-09,High Value
13564,16498.97,37,8878.0,484,2009-12-02,2011-07-18,High Value
13102,11380.1,37,6366.0,212,2010-05-06,2011-12-08,High Value
14194,18670.59,36,10037.0,432,2010-01-06,2011-12-05,High Value
12647,16955.55,36,6633.0,240,2010-01-13,2011-11-17,High Value
16814,11924.85,36,4844.0,247,2010-04-11,2011-11-25,High Value
13004,11650.85,36,8768.0,417,2009-12-15,2011-11-28,High Value
15555,11243.91,36,8511.0,667,2009-12-06,2011-11-27,High Value
13267,9429.81,36,3959.0,152,2009-12-07,2011-12-07,High Value
16210,33750.97,35,12397.0,145,2009-12-02,2011-12-08,High Value
15513,26437.05,35,10477.0,278,2010-01-13,2011-11-06,High Value
12621,24311.2,35,13706.0,344,2010-02-09,2011-12-08,High Value
16843,19571.43,35,18502.0,317,2009-12-10,2011-10-28,High Value
15044,16024.15,35,5241.0,344,2009-12-16,2011-11-20,High Value
13969,12973.46,35,6640.0,472,2010-03-25,2011-12-02,High Value
13668,12948.48,35,6096.0,411,2009-12-11,2011-12-07,High Value
14040,12523.81,35,4972.0,335,2009-12-01,2011-10-30,High Value
13050,11986.52,35,7015.0,513,2009-12-15,2011-11-25,High Value
13018,9763.16,35,6746.0,401,2010-03-01,2011-11-23,High Value
13534,7720.9,35,3869.0,163,2010-07-07,2011-12-07,High Value
15838,73205.5,34,64114.0,61,2009-12-15,2011-11-28,High Value
12709,30291.76,34,13772.0,189,2009-12-09,2011-11-24,High Value
15159,22116.73,34,13512.0,413,2010-10-04,2011-12-08,High Value
15768,15308.89,34,4215.0,437,2009-12-03,2011-08-16,High Value
16549,12781.8,34,7087.0,836,2010-03-28,2011-11-29,High Value
13001,24042.65,33,13448.0,300,2009-12-03,2011-12-05,High Value
12540,22254.49,33,11019.0,354,2009-12-07,2011-11-20,High Value
16553,16584.01,33,16427.0,195,2010-02-11,2011-06-29,High Value
12989,13551.75,33,6935.0,50,2009-12-10,2011-12-06,High Value
14110,12987.95,33,5825.0,177,2009-12-01,2011-12-06,High Value
13599,9811.04,33,6248.0,235,2009-12-01,2011-12-08,High Value
14085,9720.67,33,6434.0,479,2009-12-08,2011-12-07,High Value
16945,8548.16,33,5889.0,231,2009-12-09,2011-11-18,High Value
14180,6117.5,33,847.0,125,2010-06-09,2011-11-29,High Value
14952,17629.35,32,6977.0,240,2009-12-03,2011-10-11,High Value
16713,14115.56,32,8482.0,541,2009-12-15,2011-11-21,High Value
16923,13157.13,32,6190.0,431,2010-01-31,2011-11-27,High Value
15465,12100.4,32,2638.0,94,2009-12-10,2011-11-20,High Value
17238,7331.67,32,3555.0,486,2009-12-01,2011-12-07,High Value
12569,4124.69,32,1801.0,92,2011-04-01,2011-12-07,High Value
17706,20272.15,31,7824.0,408,2010-01-19,2011-12-05,High Value
12474,12372.75,31,7940.0,369,2010-02-11,2011-11-22,High Value
13418,11559.66,31,7354.0,328,2009-12-11,2011-11-28,High Value
15719,10195.97,31,5356.0,449,2009-12-01,2011-11-07,High Value
15867,8923.3,31,5067.0,547,2009-12-14,2011-12-04,High Value
16656,16833.17,30,15433.0,22,2009-12-04,2011-11-17,High Value
15601,14191.74,30,10395.0,310,2009-12-01,2011-11-28,High Value
17858,12518.65,30,5383.0,173,2009-12-06,2011-12-04,High Value
15805,10148.93,30,6205.0,337,2009-12-10,2011-11-16,High Value
14060,8898.24,30,7419.0,100,2010-03-11,2011-12-05,High Value
15984,8393.02,30,5730.0,458,2009-12-01,2011-12-07,High Value
12720,7787.28,30,6018.0,262,2010-07-21,2011-12-07,High Value
12843,6583.36,30,3028.0,130,2009-12-13,2011-10-05,High Value
13230,6120.01,30,3520.0,653,2010-03-18,2011-12-05,High Value
16458,5690.89,30,3395.0,91,2010-05-26,2011-12-07,High Value
17848,3559.11,30,1404.0,105,2009-12-06,2011-09-19,High Value
16754,65500.07,29,63551.0,38,2010-03-08,2010-12-02,High Value
12482,23691.4,29,27042.0,42,2010-02-24,2010-05-12,High Value
15640,23494.31,29,12140.0,303,2009-12-14,2011-12-05,High Value
17017,12576.99,29,9397.0,120,2009-12-03,2011-12-07,High Value
15144,12160.31,29,5251.0,199,2009-12-13,2011-12-01,High Value
13013,11097.43,29,5661.0,289,2009-12-14,2011-12-08,High Value
13999,9502.26,29,5043.0,174,2009-12-05,2011-11-29,High Value
17965,7006.65,29,4383.0,588,2009-12-14,2011-11-02,High Value
14702,6368.78,29,2878.0,338,2009-12-10,2011-12-08,High Value
18118,6221.02,29,3184.0,444,2010-11-23,2011-11-29,High Value
18065,5866.63,29,2265.0,193,2009-12-09,2011-12-04,High Value
16011,5601.01,29,3323.0,181,2009-12-01,2011-12-01,High Value
16928,3897.53,29,2587.0,135,2010-02-03,2011-09-20,High Value
12415,144458.37,28,91447.0,498,2010-06-30,2011-11-15,High Value
13081,56838.37,28,40077.0,738,2009-12-08,2011-11-28,High Value
13098,28882.44,28,15968.0,156,2011-01-26,2011-12-08,High Value
12901,17654.54,28,23075.0,30,2011-03-14,2011-12-01,High Value
13097,13324.1,28,5345.0,390,2009-12-01,2011-11-07,High Value
15194,12021.53,28,8922.0,274,2009-12-03,2011-12-06,High Value
17364,11972.92,28,7464.0,513,2009-12-07,2011-12-09,High Value
16523,11916.33,28,4979.0,180,2010-01-24,2011-12-08,High Value
13576,11202.59,28,4506.0,145,2009-12-08,2011-11-29,High Value
18229,10150.51,28,3071.0,73,2009-12-03,2011-11-28,High Value
13269,8537.32,28,6366.0,238,2009-12-02,2011-12-08,High Value
17611,8337.53,28,5341.0,722,2009-12-01,2011-12-02,High Value
17085,7847.67,28,3583.0,411,2009-12-06,2011-08-08,High Value
16592,7807.91,28,5504.0,221,2009-12-18,2011-12-05,High Value
14688,7190.42,28,5041.0,197,2010-09-09,2011-12-02,High Value
18231,6854.17,28,2915.0,218,2010-01-10,2011-05-31,High Value
18061,6083.81,28,3359.0,30,2009-12-04,2011-11-18,High Value
17372,4347.31,28,1863.0,412,2009-12-03,2011-10-30,High Value
15827,3603.14,28,1715.0,124,2010-01-08,2011-09-27,High Value
16019,17329.16,27,6959.0,256,2009-12-14,2011-10-24,High Value
14299,14070.25,27,8136.0,164,2009-12-02,2011-12-01,High Value
12583,13591.58,27,8535.0,141,2009-12-06,2011-12-07,High Value
16033,10608.81,27,4200.0,605,2010-08-11,2011-12-04,High Value
12431,10432.22,27,4600.0,244,2010-01-15,2011-11-04,High Value
14796,10169.33,27,7188.0,487,2009-12-14,2011-12-08,High Value
17696,7679.59,27,5891.0,191,2009-12-10,2011-11-01,High Value
13491,4467.66,27,2349.0,144,2009-12-07,2011-10-19,High Value
17735,16790.33,26,10683.0,391,2010-07-30,2011-12-07,High Value
18223,14000.85,26,6644.0,192,2009-12-04,2011-12-05,High Value
18225,13014.8,26,7282.0,266,2009-12-04,2011-12-06,High Value
18226,11878.88,26,7883.0,299,2010-03-05,2011-10-26,High Value
15290,10496.28,26,6567.0,106,2010-02-24,2011-12-05,High Value
15547,10057.05,26,7278.0,652,2009-12-06,2011-12-02,High Value
16701,9916.73,26,11046.0,154,2009-12-01,2011-12-01,High Value
12839,9669.12,26,6578.0,156,2009-12-07,2011-12-07,High Value
12747,8898.48,26,2640.0,85,2009-12-07,2011-12-07,High Value
16186,8718.43,26,6594.0,172,2009-12-09,2011-11-17,High Value
13148,8497.82,26,4487.0,451,2009-12-07,2011-11-10,High Value
14562,6638.15,26,2574.0,245,2010-02-07,2011-12-06,High Value
14534,6187.66,26,2822.0,437,2010-03-15,2011-12-07,High Value
17346,4998.61,26,3439.0,517,2010-04-18,2011-12-06,High Value
13571,4537.26,26,3191.0,263,2009-12-08,2011-11-27,High Value
15611,2997.28,26,747.0,43,2010-01-25,2011-11-30,High Value
14258,32051.34,25,17488.0,97,2009-12-04,2011-11-30,High Value
17139,19566.76,25,9853.0,447,2010-01-11,2011-11-24,High Value
14739,11573.62,25,9696.0,129,2009-12-02,2011-12-05,High Value
14755,9972.55,25,4401.0,219,2009-12-03,2011-11-30,High Value
14709,8886.33,25,4141.0,105,2009-12-05,2011-11-24,High Value
16700,8830.77,25,6644.0,263,2009-12-02,2011-12-01,High Value
15260,8767.73,25,4468.0,186,2009-12-06,2011-08-31,High Value
15570,8736.49,25,4079.0,442,2010-03-28,2011-12-02,High Value
15046,7623.79,25,4585.0,248,2010-01-14,2011-11-30,High Value
14282,7250.76,25,5166.0,100,2010-02-15,2011-12-06,High Value
17231,7064.8,25,3681.0,509,2009-12-07,2011-11-27,High Value
16607,5706.87,25,4436.0,212,2010-04-29,2011-11-22,High Value
15898,4996.45,25,2160.0,281,2009-12-11,2011-12-08,High Value
14878,4076.5,25,2416.0,159,2010-02-21,2011-11-27,High Value
17888,1807.44,25,1536.0,145,2009-12-21,2011-11-18,Frequent
17857,27347.04,24,19906.0,21,2010-03-08,2011-12-05,High Value
14062,25585.65,24,12794.0,141,2009-12-10,2011-11-30,High Value
15125,17024.87,24,8433.0,151,2010-03-31,2011-11-14,High Value
17716,15956.97,24,8819.0,334,2009-12-02,2011-11-17,High Value
16191,15677.82,24,9348.0,113,2009-12-11,2011-12-07,High Value
13090,13091.74,24,3247.0,163,2010-08-02,2011-12-01,High Value
15694,9978.48,24,2467.0,55,2009-12-07,2011-12-09,High Value
14135,8839.67,24,8534.0,138,2009-12-02,2011-12-08,High Value
13047,8428.53,24,3328.0,190,2009-12-16,2011-11-08,High Value
14092,7229.45,24,3606.0,169,2009-12-16,2011-12-02,High Value
17975,6696.33,24,2179.0,243,2010-08-06,2011-11-24,High Value
16919,4909.66,24,2333.0,230,2010-08-19,2011-07-06,High Value
14825,4735.08,24,2774.0,187,2010-04-06,2011-12-06,High Value
16326,4721.25,24,1083.0,243,2010-01-28,2011-12-04,High Value
15271,4528.54,24,2412.0,369,2010-08-05,2011-12-02,High Value
17404,47781.12,23,50679.0,126,2010-01-07,2011-12-05,High Value
18008,19759.08,23,7825.0,77,2010-01-06,2011-09-30,High Value
13488,14205.96,23,7375.0,370,2010-01-25,2011-11-22,High Value
12476,14083.91,23,5631.0,358,2010-07-26,2011-11-24,High Value
15093,13702.38,23,10778.0,104,2009-12-08,2011-11-21,High Value
14415,11980.09,23,6263.0,445,2009-12-16,2011-12-08,High Value
16985,10923.16,23,3103.0,130,2009-12-10,2011-11-22,High Value
18260,9947.26,23,5244.0,212,2009-12-15,2011-06-20,High Value
15298,9061.77,23,6000.0,199,2009-12-08,2011-12-07,High Value
13756,8655.95,23,5138.0,142,2009-12-15,2011-12-07,High Value
14056,8152.71,23,4252.0,320,2011-02-28,2011-12-08,High Value
14291,7904.1,23,6146.0,241,2009-12-09,2011-12-08,High Value
15129,6860.18,23,4002.0,86,2010-04-08,2011-10-20,High Value
16401,6849.15,23,6035.0,110,2010-06-02,2011-12-08,High Value
16497,6695.28,23,3050.0,239,2009-12-03,2011-10-21,High Value
15527,5554.89,23,2211.0,226,2009-12-15,2011-11-21,High Value
16393,5297.77,23,3001.0,313,2009-12-01,2011-12-07,High Value
16931,5032.22,23,3357.0,466,2010-11-07,2011-12-04,High Value
17402,4635.56,23,1450.0,105,2009-12-16,2011-12-05,High Value
12523,4352.35,23,2263.0,176,2009-12-07,2011-11-20,High Value
14217,3298.59,23,1230.0,122,2010-06-30,2011-12-08,High Value
16333,26626.8,22,32184.0,9,2011-02-03,2011-12-02,High Value
14607,23763.13,22,15335.0,106,2009-12-15,2011-11-24,High Value
17416,17298.45,22,8769.0,324,2009-12-14,2011-11-10,High Value
14961,16410.15,22,8372.0,328,2009-12-04,2011-11-29,High Value
12949,15526.7,22,8233.0,347,2009-12-03,2011-11-09,High Value
15218,11468.83,22,6530.0,139,2010-01-26,2011-11-29,High Value
13985,10020.86,22,4936.0,149,2010-02-09,2011-12-05,High Value
14057,8346.66,22,6438.0,244,2009-12-03,2011-11-16,High Value
16722,8189.56,22,7986.0,145,2009-12-03,2011-11-22,High Value
13426,8167.38,22,4868.0,162,2009-12-09,2011-12-09,High Value
15955,8085.98,22,3967.0,222,2010-02-23,2011-11-15,High Value
13552,6948.92,22,2630.0,162,2010-02-19,2011-10-04,High Value
14401,6795.9,22,6401.0,171,2009-12-14,2011-12-05,High Value
16103,6191.71,22,2639.0,111,2010-01-08,2011-12-02,High Value
16710,5921.35,22,4174.0,541,2009-12-04,2011-11-20,High Value
18283,2664.9,22,1679.0,352,2010-02-19,2011-12-06,High Value
12678,34281.18,21,22372.0,199,2010-01-07,2011-10-28,High Value
15251,20324.54,21,12108.0,183,2010-01-29,2011-11-30,High Value
15808,17180.25,21,6753.0,348,2009-12-01,2011-02-06,High Value
12980,16245.78,21,1910.0,7,2009-12-02,2011-07-05,High Value
13178,14059.19,21,8778.0,194,2009-12-16,2011-11-13,High Value
12683,11633.7,21,7019.0,236,2009-12-13,2011-12-05,High Value
15874,11284.76,21,5102.0,262,2010-01-07,2011-10-07,High Value
12490,9823.64,21,5906.0,195,2009-12-01,2011-12-04,High Value
17306,9782.35,21,13747.0,17,2010-11-01,2011-11-29,High Value
15981,9362.77,21,4827.0,151,2010-03-29,2011-11-15,High Value
15270,8524.86,21,4010.0,66,2009-12-17,2011-11-24,High Value
13082,7335.75,21,8466.0,99,2009-12-22,2011-08-05,High Value
16729,7205.33,21,5722.0,234,2011-04-12,2011-11-01,High Value
13983,6753.89,21,3925.0,238,2009-12-09,2011-11-10,High Value
12712,6723.03,21,2205.0,126,2009-12-09,2011-11-11,High Value
15854,5578.28,21,1691.0,168,2009-12-10,2011-12-05,High Value
14713,5115.76,21,3329.0,222,2009-12-03,2011-11-30,High Value
12600,4967.42,21,1383.0,53,2009-12-07,2011-11-11,High Value
16904,4675.36,21,2607.0,484,2010-10-24,2011-12-05,High Value
17220,4457.31,21,2663.0,408,2010-01-20,2011-11-15,High Value
14239,4263.17,21,1729.0,97,2009-12-05,2011-10-27,High Value
17287,3826.86,21,1955.0,279,2009-12-03,2011-11-13,High Value
18241,2986.99,21,1471.0,101,2010-04-01,2011-11-30,High Value
12939,25264.8,20,10328.0,24,2010-01-12,2011-10-06,High Value
15023,11578.65,20,4758.0,486,2010-02-03,2011-12-06,High Value
17809,10085.89,20,2995.0,59,2009-12-02,2011-11-23,High Value
13327,9134.48,20,4203.0,175,2009-12-18,2011-11-01,High Value
16672,8134.94,20,2832.0,22,2011-03-18,2011-12-07,High Value
16670,8030.15,20,4534.0,258,2009-12-10,2011-11-23,High Value
14159,7860.8,20,6520.0,706,2009-12-03,2011-11-20,High Value
15544,7807.89,20,6745.0,175,2010-01-28,2011-11-30,High Value
14395,7801.93,20,3872.0,320,2010-04-18,2011-12-07,High Value
17730,7773.8,20,5300.0,177,2010-04-29,2011-12-06,High Value
14030,7521.8,20,4215.0,591,2009-12-10,2011-11-21,High Value
16570,7434.31,20,4292.0,114,2010-03-30,2011-11-24,High Value
17690,6963.8,20,2939.0,237,2010-02-03,2011-11-09,High Value
16170,6869.0,20,6056.0,254,2010-02-18,2011-10-20,High Value
12417,6797.41,20,2884.0,270,2009-12-06,2011-12-06,High Value
12662,6726.54,20,3424.0,163,2010-04-01,2011-12-09,High Value
18245,6324.98,20,5098.0,336,2010-03-08,2011-12-02,High Value
17799,6246.93,20,3674.0,478,2009-12-13,2011-11-17,High Value
16156,6188.18,20,3205.0,199,2009-12-02,2011-12-01,High Value
16954,6081.88,20,4086.0,83,2010-01-18,2011-12-09,High Value
17644,6028.6,20,3469.0,160,2010-02-16,2011-12-08,High Value
18075,5783.29,20,3281.0,180,2010-07-29,2011-11-16,High Value
14099,5750.91,20,3666.0,273,2009-12-10,2011-11-23,High Value
13769,5478.12,20,2452.0,121,2009-12-16,2011-12-07,High Value
13911,4234.99,20,4487.0,178,2010-03-01,2011-10-13,High Value
14590,2993.37,20,901.0,124,2009-12-07,2010-10-11,High Value
14344,2993.05,20,1546.0,140,2010-03-23,2011-08-04,High Value
12877,2942.14,20,2237.0,149,2010-01-18,2011-12-06,High Value
17790,2779.41,20,1387.0,188,2010-06-13,2011-11-13,High Value
17884,2698.47,20,2749.0,305,2009-12-04,2011-12-06,High Value
17969,2354.29,20,1014.0,113,2009-12-06,2011-06-26,High Value
13802,26259.11,19,14129.0,212,2010-02-16,2011-07-24,High Value
14866,20746.54,19,9089.0,40,2010-08-26,2011-11-29,High Value
13027,17239.2,19,42840.0,7,2010-01-20,2011-08-18,High Value
12472,16249.29,19,10378.0,397,2009-12-14,2011-11-07,High Value
15482,14417.36,19,6516.0,74,2009-12-02,2011-11-24,High Value
13629,13370.86,19,7722.0,28,2010-02-11,2011-11-16,High Value
14505,11879.08,19,5325.0,898,2009-12-09,2011-11-22,High Value
14422,10271.52,19,6067.0,317,2009-12-17,2011-12-09,High Value
17049,9942.53,19,4273.0,316,2010-03-04,2011-12-07,High Value
14944,9784.67,19,4864.0,184,2010-02-17,2011-11-10,High Value
17091,7495.75,19,3732.0,242,2009-12-16,2011-12-07,High Value
16145,6805.44,19,5270.0,217,2010-05-04,2011-12-01,High Value
13993,6775.71,19,2135.0,110,2009-12-03,2011-10-28,High Value
17001,6640.8,19,3782.0,108,2010-03-25,2011-12-09,High Value
13394,6621.7,19,5354.0,254,2009-12-01,2011-12-08,High Value
13317,6486.09,19,3149.0,222,2009-12-13,2011-10-04,High Value
13266,6135.04,19,6837.0,154,2009-12-17,2011-11-28,High Value
12500,5955.21,19,3377.0,88,2010-02-04,2011-11-16,High Value
14732,5517.07,19,2273.0,162,2009-12-09,2011-12-01,High Value
17157,5151.9,19,2092.0,78,2009-12-04,2011-12-02,High Value
12483,5097.18,19,2160.0,68,2010-01-31,2011-11-22,High Value
18144,4892.95,19,2144.0,51,2009-12-16,2011-12-02,High Value
17954,3804.38,19,3180.0,479,2009-12-09,2011-12-04,High Value
15059,3491.2,19,1599.0,308,2009-12-06,2011-10-30,High Value
14397,2612.96,19,1890.0,18,2011-05-10,2011-12-07,High Value
16883,2246.06,19,1016.0,159,2009-12-04,2011-06-05,Frequent
17340,19617.95,18,9497.0,322,2010-02-14,2011-11-10,High Value
18092,14693.72,18,8298.0,42,2009-12-04,2011-12-07,High Value
17589,13837.94,18,8704.0,601,2010-03-07,2011-10-10,High Value
13324,10513.47,18,8448.0,36,2010-05-25,2011-11-03,High Value
17504,9490.17,18,5420.0,244,2010-02-08,2011-05-17,High Value
17230,9388.49,18,3753.0,141,2009-12-08,2011-03-20,High Value
15249,9266.0,18,4980.0,304,2010-03-26,2011-11-08,High Value
16550,8813.58,18,5405.0,274,2009-12-02,2011-08-23,High Value
17739,7730.59,18,2335.0,56,2009-12-07,2011-11-28,High Value
13709,7571.35,18,4122.0,296,2010-01-11,2011-12-06,High Value
13831,6585.54,18,2393.0,121,2009-12-10,2011-11-23,High Value
12823,6501.5,18,930.0,1,2010-01-29,2011-09-26,High Value
15750,6452.99,18,4281.0,389,2009-12-01,2011-12-07,High Value
15514,6392.06,18,4087.0,171,2009-12-04,2011-11-27,High Value
13590,6336.04,18,5271.0,255,2009-12-01,2011-11-28,High Value
17873,6265.33,18,4159.0,65,2009-12-16,2011-09-20,High Value
14852,6132.43,18,4366.0,152,2010-03-05,2011-10-12,High Value
17419,6126.25,18,2884.0,203,2010-01-25,2011-11-28,High Value
15971,5902.83,18,2251.0,12,2009-12-08,2011-11-22,High Value
17512,5467.82,18,5434.0,102,2009-12-10,2011-11-11,High Value
17612,5394.86,18,3521.0,213,2009-12-17,2011-10-17,High Value
13842,5319.34,18,2716.0,214,2010-02-16,2011-10-12,High Value
12708,5117.66,18,2432.0,130,2009-12-18,2011-11-10,High Value
17861,5088.29,18,4541.0,329,2009-12-10,2011-12-06,High Value
14341,4452.02,18,2813.0,185,2009-12-01,2011-10-25,High Value
14211,4402.29,18,2575.0,155,2009-12-09,2011-10-17,High Value
18077,4078.79,18,3020.0,141,2009-12-07,2011-12-01,High Value
17218,3891.39,18,2066.0,248,2010-01-25,2011-12-05,High Value
18044,3505.61,18,1598.0,128,2010-05-28,2011-12-05,High Value
15953,3440.34,18,1741.0,102,2009-12-03,2011-11-24,High Value
17894,2304.58,18,938.0,215,2010-08-27,2011-09-29,High Value
13117,2255.66,18,1852.0,122,2010-03-26,2011-11-18,High Value
14096,65164.79,17,16352.0,1119,2011-08-30,2011-12-05,High Value
12731,25775.71,17,11641.0,137,2010-03-02,2011-11-16,High Value
14769,15514.11,17,11058.0,834,2009-12-16,2011-12-07,High Value
18087,14761.52,17,7775.0,44,2009-12-01,2011-09-02,High Value
17338,11889.33,17,5780.0,590,2010-03-10,2011-11-22,High Value
14426,11727.94,17,7023.0,452,2010-03-04,2011-11-16,High Value
12524,11126.11,17,7178.0,157,2010-02-08,2011-11-30,High Value
17160,10209.16,17,8390.0,215,2009-12-04,2011-11-08,High Value
13715,8153.04,17,4800.0,277,2010-03-11,2011-03-03,High Value
14525,8026.54,17,5106.0,340,2009-12-13,2011-11-20,High Value
16556,8012.58,17,4353.0,280,2009-12-07,2011-10-04,High Value
